"","date_1","date_2","valid","area","mid","month","year","time","cumulative"
"200",2017-04-05,2017-04-25,2,1.94288165746555,2017-04-15,4,2017,20,135.967930429837
"201",NA,NA,0,1.94820915304888,NA,NA,NA,NA,137.916139582886
"202",2018-11-07,2018-11-12,2,1.94862056355018,2018-11-09,11,2018,5,139.864760146436
"203",2018-01-23,2018-02-09,2,1.9837814182926,2018-01-31,1,2018,17,141.848541564729
"204",2018-02-05,2018-03-10,2,2.01169542836472,2018-02-21,2,2018,33,143.860236993093
"205",2017-04-22,2017-05-14,2,2.037714764689,2017-05-03,5,2017,22,145.897951757782
"206",2017-07-24,2017-07-28,2,2.08475648954494,2017-07-26,7,2017,4,147.982708247327
"207",2017-02-09,2017-02-22,2,2.1167641763554,2017-02-15,2,2017,13,150.099472423683
"208",2018-02-28,2018-03-04,1,2.12132113566026,2018-03-02,3,2018,4,152.220793559343
"209",2016-05-20,2016-07-08,2,2.14659311142974,2016-06-13,6,2016,49,154.367386670773
"210",2017-12-06,2017-12-08,2,2.14867387880635,2017-12-07,12,2017,2,156.516060549579
"211",NA,NA,0,2.16919949418437,NA,NA,NA,NA,158.685260043763
"212",NA,NA,0,2.17654174484014,NA,NA,NA,NA,160.861801788603
"213",2017-03-16,2017-03-29,2,2.18432454152554,2017-03-22,3,2017,13,163.046126330129
"214",2016-02-21,2016-05-04,2,2.23919469438161,2016-03-28,3,2016,73,165.285321024511
"215",2017-11-17,2017-11-25,2,2.27617291183942,2017-11-21,11,2017,8,167.56149393635
"216",2017-11-17,2017-11-25,2,2.37334702482074,2017-11-21,11,2017,8,169.934840961171
"217",2016-07-14,2016-09-15,1,2.40170186750747,2016-08-15,8,2016,63,172.336542828678
"218",NA,NA,0,2.457592438249,NA,NA,NA,NA,174.794135266927
"219",2017-09-08,2017-09-17,2,2.45933700793032,2017-09-12,9,2017,9,177.253472274858
"220",2017-09-08,2017-09-17,2,2.49915065336174,2017-09-12,9,2017,9,179.752622928219
"221",2016-01-31,2016-03-02,2,2.52848723365213,2016-02-16,2,2016,31,182.281110161871
"222",2016-02-11,2016-03-12,2,2.53392672321559,2016-02-26,2,2016,30,184.815036885087
"223",2017-01-22,2017-02-22,2,2.53406234384102,2017-02-07,2,2017,31,187.349099228928
"224",2017-05-14,2017-05-26,2,2.55006390702156,2017-05-20,5,2017,12,189.89916313595
"225",2017-12-07,2017-12-15,2,2.58978095191238,2017-12-11,12,2017,8,192.488944087862
"226",2017-09-03,2017-09-14,2,2.61826676111619,2017-09-09,9,2017,11,195.107210848978
"227",2017-12-05,2017-12-15,2,2.65338257698603,2017-12-10,12,2017,10,197.760593425964
"228",2017-09-03,2017-09-14,2,2.8335067876745,2017-09-09,9,2017,11,200.594100213639
"229",2017-09-03,2017-09-14,2,2.91643107587919,2017-09-09,9,2017,11,203.510531289518
"230",2016-09-25,2016-10-10,2,2.95929538154826,2016-10-03,10,2016,15,206.469826671066
"231",2017-10-10,2017-10-28,2,2.96376857372643,2017-10-19,10,2017,18,209.433595244793
"232",2017-04-27,2017-05-08,2,3.01395517612807,2017-05-03,5,2017,11,212.447550420921
"233",NA,NA,0,3.0635883854798,NA,NA,NA,NA,215.5111388064
"234",2018-05-06,2018-07-10,1,3.09013829162851,2018-06-07,6,2018,65,218.601277098029
"235",2017-03-16,2017-04-11,1,3.12103088491876,2017-03-29,3,2017,26,221.722307982948
"236",2016-08-09,2016-08-30,2,3.21742699131733,2016-08-19,8,2016,21,224.939734974265
"237",2016-08-09,2016-08-30,2,3.37713688578152,2016-08-19,8,2016,21,228.316871860047
"238",2017-06-05,NA,0,3.40690796477497,NA,NA,NA,NA,231.723779824822
"239",2016-02-15,2016-04-02,2,3.50378594785649,2016-03-10,3,2016,47,235.227565772678
"240",2017-10-06,2017-10-11,1,3.51227909943355,2017-10-08,10,2017,5,238.739844872112
"241",2016-01-23,2016-02-15,1,3.90845261221398,2016-02-04,2,2016,23,242.648297484326
"242",2016-04-02,2016-05-26,2,4.03664033829155,2016-04-29,4,2016,54,246.684937822617
"243",2018-08-26,2018-09-09,2,4.15629489488453,2018-09-02,9,2018,14,250.841232717502
"244",2018-08-26,2018-09-09,2,4.25416098406706,2018-09-02,9,2018,14,255.095393701569
"245",2018-08-02,2018-08-09,2,4.30375933396451,2018-08-06,8,2018,7,259.399153035533
"246",2018-08-08,2018-08-18,2,4.45207827467918,2018-08-13,8,2018,10,263.851231310212
"247",2018-08-02,2018-08-09,2,4.71405966047617,2018-08-06,8,2018,7,268.565290970689
"248",2018-08-21,2018-09-01,1,4.7747662918617,2018-08-27,8,2018,11,273.34005726255
"249",2018-08-21,2018-09-01,2,4.87420660748081,2018-08-27,8,2018,11,278.214263870031
"250",2018-08-21,2018-09-01,2,4.95607886350718,2018-08-27,8,2018,11,283.170342733538
"251",2017-01-26,2017-02-21,2,5.09946020900607,2017-02-08,2,2017,26,288.269802942544
"252",2017-01-23,2017-02-21,2,5.11402776601911,2017-02-06,2,2017,29,293.383830708563
"253",2016-08-21,2016-09-15,2,5.50845092770532,2016-09-02,9,2016,25,298.892281636269
"254",2017-05-15,2017-05-19,1,6.51738623950258,2017-05-17,5,2017,4,305.409667875771
"255",NA,NA,0,6.54674956380774,NA,NA,NA,NA,311.956417439579
"256",2016-09-18,2016-09-29,2,6.58541845859997,2016-09-24,9,2016,11,318.541835898179
"257",2016-08-23,2016-09-23,1,6.73265424314588,2016-09-08,9,2016,31,325.274490141325
"258",2016-03-27,2016-05-19,2,7.45935248803148,2016-04-22,4,2016,53,332.733842629356
"259",2016-03-27,2016-05-19,2,7.56141877624549,2016-04-22,4,2016,53,340.295261405602
"260",2016-08-11,2016-09-15,2,8.26217029782953,2016-08-29,8,2016,35,348.557431703431
"261",2016-08-11,2016-09-15,2,8.64696707043266,2016-08-29,8,2016,35,357.204398773864
"262",2016-08-11,2016-09-15,2,8.75362023886652,2016-08-29,8,2016,35,365.958019012731
"263",2016-08-11,2016-09-15,2,9.01832411119472,2016-08-29,8,2016,35,374.976343123925
"264",2016-08-11,2016-09-15,1,9.40437491785088,2016-08-29,8,2016,35,384.380718041776
"265",2016-08-11,2016-09-15,1,12.0573641574241,2016-08-29,8,2016,35,396.4380821992
"266",2016-08-11,2016-09-15,1,12.4260059109269,2016-08-29,8,2016,35,408.864088110127
"267",2016-11-11,2016-11-22,2,22.9028477618359,2016-11-17,11,2016,11,431.766935871963
"268",2016-11-07,2016-11-18,1,45.5061259845972,2016-11-13,11,2016,11,477.27306185656
